Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institutions - Persons,Population attending educational institutions - Males,Population attending educational institutions - Females,Type of educational institution - School - Persons,Type of educational institution - School - Males,Type of educational institution - School - Females,Type of educational institution - College - Persons,Type of educational institution - College - Males,Type of educational institution - College - Females,Type of educational institution - Vocational institute - Persons,Type of educational institution - Vocational institute - Males,Type of educational institution - Vocational institute - Females,Type of educational institution - Other institute - Persons,Type of educational institution - Other institute - Males,Type of educational institution - Other institute - Females,Type of educational institution - Literacy centre - Persons,Type of educational institution - Literacy centre - Males,Type of educational institution - Literacy centre - Females
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,All ages,10143700,5360926,4782774,2463443,1397468,1065975,2290691,1291632,999059,149235,89983,59252,14634,10143,4491,6716,4651,2065,2167,1059,1108
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,0-4,963603,497184,466419,31890,17270,14620,31890,17270,14620,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,5,237728,122741,114987,43814,24145,19669,43814,24145,19669,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,6,284472,145469,139003,101039,55032,46007,101039,55032,46007,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,7,217317,111487,105830,131183,71714,59469,131183,71714,59469,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,8,321662,165379,156283,212245,116821,95424,212245,116821,95424,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,9,231584,119404,112180,168889,92632,76257,168889,92632,76257,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,10,368272,190872,177400,257996,143718,114278,257996,143718,114278,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,11,178719,93395,85324,138960,77380,61580,138960,77380,61580,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,12,333604,172296,161308,236907,133429,103478,236907,133429,103478,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,13,210357,106871,103486,154716,85848,68868,154716,85848,68868,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,14,269707,139403,130304,187458,106794,80664,187458,106794,80664,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,15-19,1147081,592332,554749,587668,341414,246254,540040,313933,226107,42831,24368,18463,2780,1733,1047,1833,1288,545,184,92,92
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,20-24,889969,476469,413500,172401,104715,67686,85554,52916,32638,81576,48530,33046,3683,2362,1321,1271,762,509,317,145,172
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,25-29,789383,422668,366715,20803,13914,6889,0,0,0,16146,10748,5398,3002,2066,936,1373,964,409,282,136,146
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,30-34,697138,378777,318361,5874,4236,1638,0,0,0,3780,2731,1049,1289,972,317,548,406,142,257,127,130
